,chapter,lemma,grammar,word_th_trans_en,freq,loan,hg_context
9985,П,панк,"N, anim, hum",гриб | катышки | панк,17,False,False
9986,П,панга,N,гриб | катышки | панк,17,False,False
9988,П,панарня,"N, dim",рубашечка,4,False,False
9989,П,панар,N,рубашка,195,False,False
9990,П,панама,N,панама,5,True,False
9991,П,память,N,память,53,True,False
9992,П,памятник,N,памятник,233,True,False
9993,П,памятка,N,памятка,3,True,False
9994,П,Памфилия,"N, PN, topn",Памфилия,5,True,False
9995,П,памперс,N,памперс,1,True,False
9996,П,паморькскя,"N, dim",крошечка,1,False,False
9997,П,паморькс,N,крошка,11,False,False
9998,П,паморемс,"V, intr",крошиться,1,False,False
9999,П,памордемс,"V, tr",крошить,6,False,False
10000,П,паля,N,платье,11,False,False
10001,П,пальта,N,пальто,4,False,False
10002,П,пава,N,пава,3,True,False
10004,П,паваз,"N, anim",счастье,3,False,False
10005,П,паваз,A,счастливый,77,False,False
10006,П,пакарень,A,кость,4,False,False
10007,П,пакарь,"N, body",костяной,4,False,False
10008,П,пакарня,"N, dim, body",косточка,3,False,False
10010,П,пакарь,N,бересклет,1,False,False
10011,П,пакарькс,"N, body",кость,1,False,False
10012,П,пакарю,A,костлявый,3,False,False
10013,П,пакет,N,пакет,28,True,False
10014,П,пакеткя,"N, dim",пакетик,6,False,False
10015,П,Пакистан,"N, PN, topn",Пакистан,10,True,False
10016,П,пакистанец,"N, anim, hum",пакистанец,2,True,False
10017,П,пакля,N,пакля,1,True,False
10018,П,пайщик,"N, anim, hum",пайщик,2,True,False
10019,П,пакся,N,поле,658,False,False
10020,П,паксянь,N,полевой,72,False,False
10021,П,паксяня,"N, dim",поле,2,False,False
10022,П,пакш,N,кусок,119,False,False
10024,П,пакшкя,"N, dim",кусочек,4,False,False
10025,П,пакшень-пакш,ADV,"на части, на кусочки",1,False,False
10028,П,пал,A,гореть,1,False,False
10030,П,палань,"V, intr","палань куд -- дом, где деревенская молодёжь собиралась по вечерам",1,False,False
10031,П,полафневи,"V, tr","заменить | изменчивый, изменяемый | удлинить, надставить",5,False,True
10032,П,пакся,A,поле,72,False,False
10033,П,пайгоня,"N, dim",колокольчик,70,False,False
10035,П,пайгонь,A,колокольный,10,False,False
10036,П,павазу,N,счастье,77,False,True
10038,П,павазфтома,N,счастье,1,False,False
10039,П,павазу,A,счастливый,187,False,False
10041,П,павазуста,ADV,счастливый,17,False,False
10042,П,павазуши,N,благодать,1,False,False
10043,П,Павел,"N, PN, persn",Павел,421,True,False
10044,П,павильон,N,павильон,9,True,False
10045,П,Павлик,"N, PN, persn",Павлик,3,True,False
10046,П,Павлов,"N, PN, famn",Павлов,3,True,False
10047,П,Павлова,"N, PN, famn",Павлова,1,True,False
10048,П,Павлович,"N, PN, patrn",Павлович,77,True,False
10049,П,Павловна,"N, PN, patrn",Павловна,71,True,False
10050,П,падеж,N,падеж,10,True,False
10051,П,паз,"N, supernat",божество (у эрзя),9,False,False
10052,П,паз,N,божество (у эрзя),1,False,False
10053,П,пас,"N, supernat",пас,1,True,False
10054,П,пазл,N,пазл,1,True,False
10055,П,пазморот,N,"обращение к духам, покровителям песни",6,False,False
10056,П,пазяй,N,посконь,3,False,False
10057,П,пай,N,пай,10,True,False
10058,П,пайгарма,N,ошейник,17,False,False
10059,П,пайге,N,колокол,4,False,False
10060,П,пайге,A,колокол,2,False,False
10061,П,пайгонь,N,колокольный,2,False,False
10062,П,пайгодемс,"V, intr",опухнуть,1,False,False
10063,П,паваз,N,счастье,421,False,False
10064,П,пестонь,A,конечный,1,False,False
10067,П,парина,N,пар,4,False,False
10068,П,парикмахерскяй,N,парикмахерская,6,False,False
10069,П,парикмахер,"N, anim, hum",парикмахер,14,True,False
10070,П,Париж,"N, PN, topn",Париж,12,True,False
10071,П,парендамс,"V, tr","парить; выводить, гнать",15,False,False
10072,П,паргана,A,"мягкий, взбитый, воздушный",10,False,False
10073,П,парашютнай,A,парашютный,1,False,False
10074,П,парашютист,"N, anim, hum",паршютист,5,False,False
10075,П,парашют,N,парашют,5,True,False
10076,П,парафин,N,парафин,1,True,False
10077,П,парамс,"V, intr","мычать, блеять",7,False,False
10078,П,Парамонова,"N, PN, famn",Парамонова,4,True,False
